place,title,time,pay,date
경기 성남시,더본코리아 미정국수0410 모란역점,07:00~14:00,"시급 8,590",04/19
경기 성남시,더본코리아 미정국수0410 모란역점,07:00~14:00,"시급 8,590",04/19
경기 성남시,더본코리아 미정국수0410 모란역점,07:00~14:00,"시급 8,590",04/19
울산 동구,더본코리아 홍콩반점0410 울산일산점,10:00~22:00,"월급 2,400,000",04/19
인천 남동구,더본코리아 한신포차 인천구월점,18:30~01:00,"월급 1,550,000",04/19
대구 달성군,홍콩반점0410 대구달성테크노점,10:00~14:00,"시급 8,590",04/18
서울 종로구,더본코리아 홍콩반점0410 대학로CG,12:00~10:00,"시급 8,590",04/18
서울 종로구,인생설렁탕 종각역점,11:00~16:00,"시급 9,000",04/18
강원 원주시,롤링파스타 원주단계점,10:00~22:00,"월급 2,450,000",04/18
강원 원주시,롤링파스타 원주단계점,10:00~22:00,"월급 2,450,000",04/18
서울 강서구,더본코리아 새마을식당 마곡나루역점,10:30~22:30,"월급 2,550,000",04/18
서울 전체,인생설렁탕 장한평역점,10:00~15:00,"시급 9,000",04/17
서울 광진구,더본코리아 홍콩반점0410 어린이대공,10:30~22:30,"월급 2,500,000",04/17
서울 양천구,더본코리아 홍콩반점0410 발산역점,10:00~22:00,"월급 2,300,000",04/17
울산 남구,더본코리아 한신포차 울산삼산점,19:00~06:00,"월급 2,350,000",04/16
인천 서구,더본코리아 새마을식당 인천청라점,21:00~02:00,"시급 8,590",04/16
경남 김해시,더본코리아 홍콩반점0410 김해장유점,12:00~15:00,"시급 8,600",04/16
경남 진주시,홍콩반점0410 진주혁신도시점,10:30~21:30,"월급 2,450,000",04/16
서울 광진구,더본코리아 홍콩반점0410 건대입구역,10:00~22:00,"월급 2,300,000",04/16
전남 순천시,홍콩반점0410 순천연향점,10:00~20:00,"월급 160,000",04/16
서울 용산구,더본코리아 홍콩반점0410 문배지점,10:30~20:30,"월급 2,400,000",04/16
서울 전체,인생설렁탕 장한평역점,10:00~22:00,"월급 2,648,000",04/16
경기 파주시,더본코리아 돌배기집 파주운정산내점,11:00~22:00,"월급 2,500,000",04/16
충남 서산시,더본코리아 한신포차 청주율량점,18:00~03:00,"시급 8,590",04/15
부산 수영구,더본코리아 홍콩반점0410 부산수영점,11:00~14:00,"시급 8,590",04/15
경남 김해시,홍콩반점0410 김해주촌점,11:00~15:00,"시급 8,590",04/15
경남 김해시,홍콩반점0410 김해주촌점,10:00~22:00,"월급 2,300,000",04/15
경기 부천시,더본코리아 한신포차 부천롯데점,19:00~04:00,"시급 8,590",04/15
충남 서산시,더본코리아 한신포차 청주율량점,20:00~01:00,"시급 8,600",04/15
전북 전주시,롤링파스타 전북대점,10:00~23:00,"월급 2,300,000",04/14
서울 광진구,더본코리아 홍콩반점0410 어린이대공,10:30~22:30,"월급 2,500,000",04/14
강원 원주시,롤링파스타 원주단계점,10:00~22:00,"월급 2,450,000",04/14
강원 원주시,롤링파스타 원주단계점,10:00~22:00,"월급 2,450,000",04/14
서울 용산구,더본코리아 홍콩반점0410 문배지점,10:30~20:30,"월급 2,400,000",04/14
전남 순천시,더본코리아 백스비어 순천조례점,18:00~01:00,"시급 8,590",04/14
경기 수원시,더본코리아 한신포차 수원인계점,19:00~05:30,"월급 2,200,000",04/13
부산 남구,롤링파스타 부산경성대점,12:00~22:00,"월급 1,800,000",04/13
광주 광산구,더본코리아 새마을식당 광주수완점,19:00~22:00,"시급 8,600",04/13
경기 용인시,더본코리아 홍콩반점0410 죽전단대점,11:30~15:30,"시급 8,600",04/13
경기 용인시,더본코리아 홍콩반점0410 죽전단대점,11:30~15:30,"시급 8,600",04/13
경기 용인시,더본코리아 홍콩반점0410 죽전단대점,10:00~21:00,"월급 2,470,000",04/13
강원 원주시,더본코리아 홍콩반점0410 원주혁신하,10:00~22:00,"월급 2,400,000",04/12
경기 수원시,더본코리아 홍콩반점0410 수원역점,11:00~17:00,"시급 8,590",04/12
충북 청주시,홍콩반점0410 충북대중문점,10:30~21:30,"월급 2,350,000",04/11
부산 해운대,리춘시장 부산해운대점,17:00~03:00,"월급 2,200,000",04/11
서울 중구,홍콩반점0410 약수역점,10:00~22:00,"월급 2,700,000",04/11
대전 서구,더본코리아 홍콩반점0410 대전건양대,11:00~15:00,"시급 8,600",04/11
서울 광진구,더본코리아 홍콩반점0410 건대입구역,10:00~22:00,"월급 2,300,000",04/11
광주 서구,더본코리아 새마을식당 광주금호점,19:00~22:00,"시급 8,600",04/10
서울 마포구,더본코리아 역전우동0410 홍대입구역,21:00~09:00,"월급 2,700,000",04/10
충북 청주시,홍콩반점0410 충북대중문점,10:30~21:30,"월급 2,350,000",04/10
전북 전주시,롤링파스타 전북대점,10:00~23:00,"월급 2,300,000",04/10
광주 광산구,더본코리아 새마을식당 광주수완점,04:00~04:00,"월급 2,300,000",04/10
경남 진주시,홍콩반점0410 진주혁신도시점,10:30~21:30,"시급 8,600",04/09
충북 청주시,더본코리아 한신포차 청주율량점,17:00~04:00,"시급 8,590",04/09
서울 광진구,더본코리아 홍콩반점0410 건대입구역,10:00~22:00,"월급 2,300,000",04/09
서울 광진구,더본코리아 홍콩반점0410 건대입구역,10:00~22:00,"월급 2,300,000",04/08
경기 용인시,더본코리아 홍콩반점0410 수지구청점,10:00~21:00,"월급 2,470,000",04/07
광주 광산구,더본코리아 새마을식당 광주수완점,19:00~22:00,"시급 8,600",04/07
서울 광진구,더본코리아 홍콩반점0410 건대입구역,10:00~22:00,"월급 2,300,000",04/07
부산 동래구,더본코리아 홍콩반점0410 부산사직점,10:00~22:00,"월급 2,300,000",04/06
서울 강서구,더본코리아 한신포차 마곡나루역점,19:00~05:00,"월급 2,490,000",04/06
울산 전체,더본코리아 새마을식당 울산삼산점,18:00~22:00,"시급 10,000",04/06
경기 김포시,새마을식당 김포구래점,11:00~01:00,"월급 3,000,000",04/06
서울 용산구,더본코리아 홍콩반점0410 문배지점,10:30~20:30,"월급 2,400,000",04/06
경기 김포시,더본코리아 홍콩반점0410 김포장기쌍,10:00~22:00,"월급 2,500,000",04/05
경기 김포시,더본코리아 홍콩반점0410 김포장기쌍,09:30~21:30,"월급 2,100,000",04/05
서울 중구,홍콩반점0410 약수역점,10:00~22:00,"월급 2,700,000",04/05
인천 서구,더본코리아 새마을식당 인천청라점,21:00~02:00,"시급 8,590",04/05
서울 광진구,더본코리아 홍콩반점0410 어린이대공,10:30~22:30,"월급 2,500,000",04/05
서울 전체,인생설렁탕 장한평역점,10:00~22:00,"월급 2,600,000",04/04
경기 용인시,더본코리아 홍콩반점0410 수지구청점,10:00~21:00,"월급 2,470,000",04/04
서울 전체,인생설렁탕 장한평역점,10:00~22:00,"월급 2,600,000",04/04
인천 부평구,더본코리아 홍콩반점0410 인천삼산롯,10:30~22:30,"월급 2,000,000",04/04
